Frequency,Year0,Year100,Year200,Year300,Year400,Year500,Year600,Year700,Year800,Year900,Year1000,Year1100,Year1200,Year1300,Year1400,Year1500,Year1600,Year1700,Year1800,Year1900,Year2000,Year2100,Year2200,Year2300,Year2400,Year2500,Year2600,Year2700,Year2800,Year2900,Year3000,Year3100,Year3200,Year3300,Year3400,Year3500,Year3600,Year3700,Year3800,Year3900,Year4000,Year4100,Year4200,Year4300,Year4400,Year4500,Year4600,Year4700,Year4800,Year4900,Year5000,Year5100,Year5200,Year5300,Year5400,Year5500,Year5600,Year5700,Year5800,Year5900,Year6000,Year6100,Year6200,Year6300,Year6400,Year6500,Year6600,Year6700,Year6800,Year6900,Year7000,Year7100,Year7200,Year7300,Year7400,Year7500,Year7600,Year7700,Year7800,Year7900,Year8000,Year8100,Year8200,Year8300,Year8400,Year8500,Year8600,Year8700,Year8800,Year8900,Year9000,Year9100,Year9200,Year9300,Year9400,Year9500,Year9600,Year9700,Year9800,Year9900,Year10000
0.56,0,92,125,84,91,76,83,78,75,75,70,57,71,72,65,76,66,70,66,56,55,59,65,65,52,55,50,58,49,54,58,55,52,49,58,60,41,57,48,48,45,40,48,46,48,59,45,49,49,52,53,51,46,42,44,47,35,43,46,48,48,45,46,46,47,37,37,50,41,49,28,52,37,33,41,39,40,31,51,34,39,35,39,34,31,41,41,35,31,42,33,41,34,31,37,36,53,35,29,40,42
0.57,0,89,122,90,95,70,53,67,71,63,74,74,53,65,70,67,62,46,50,63,49,48,50,40,51,45,47,48,40,55,43,51,59,49,41,42,50,43,40,45,49,46,38,46,48,47,41,52,46,43,52,50,46,31,49,32,32,40,30,40,40,33,49,41,45,39,47,30,39,32,35,38,54,51,41,39,39,40,29,38,36,29,42,29,48,33,36,39,39,32,40,48,47,45,38,39,25,43,42,37,35
0.58,0,63,91,77,70,60,53,57,63,68,73,57,55,80,53,58,60,53,46,44,55,73,54,54,51,48,40,36,40,46,49,46,49,52,49,52,52,52,46,47,45,57,54,46,36,34,44,44,30,41,42,37,46,53,34,37,37,38,36,37,38,42,34,33,44,36,50,53,31,35,45,37,42,32,40,34,34,42,32,52,30,27,31,32,41,35,29,33,32,39,36,31,41,21,36,38,37,42,52,37,26
0.59,0,44,75,88,66,69,59,61,56,64,56,58,66,63,64,69,52,59,63,50,43,58,62,66,58,57,46,46,55,44,52,52,47,49,42,41,52,55,47,45,59,53,45,50,45,43,43,37,46,51,43,41,38,47,37,44,39,45,41,24,42,37,36,39,29,54,40,33,46,39,25,46,41,37,26,29,30,43,45,39,40,38,34,47,32,41,45,29,35,33,35,28,36,39,39,48,43,40,32,40,40
0.60,0,27,79,90,49,58,44,44,56,49,62,60,63,60,67,61,67,64,59,63,65,52,53,42,47,64,57,42,56,49,55,56,53,43,59,55,39,40,58,43,42,44,51,47,58,60,50,35,42,32,43,44,41,37,33,41,43,47,38,43,40,40,41,31,37,29,33,31,35,44,36,37,31,35,41,43,41,42,32,31,33,44,39,41,31,37,32,34,38,28,29,37,34,37,28,28,24,39,40,47,34
0.61,0,17,51,76,63,51,49,59,54,56,58,62,67,59,58,67,63,62,52,81,63,60,51,40,54,47,43,46,48,44,40,46,52,50,54,49,56,48,52,52,46,48,39,53,51,49,47,57,45,38,46,45,46,40,40,33,45,30,42,47,40,45,38,39,31,46,32,36,38,44,52,38,39,46,44,49,55,24,41,28,39,47,28,33,42,43,29,38,34,31,28,35,25,35,30,33,44,29,36,24,44
0.62,0,6,52,59,39,42,63,64,56,55,67,54,60,68,65,54,67,67,61,53,54,46,52,56,40,39,49,56,51,57,47,43,36,47,40,50,48,35,51,48,41,59,47,44,46,35,44,37,45,56,37,39,39,39,42,48,42,40,43,41,41,34,40,36,47,41,38,44,46,42,40,38,38,41,42,28,46,47,44,40,52,35,33,35,30,35,35,31,29,43,33,39,31,39,39,43,31,35,27,38,34
0.63,0,2,34,34,59,47,49,56,55,50,48,46,52,47,53,50,56,64,60,63,50,56,55,43,47,47,44,51,45,43,49,44,49,55,38,39,32,49,29,40,44,48,48,46,41,41,37,43,43,36,40,43,34,42,46,44,42,44,34,45,50,35,33,35,43,33,23,37,40,42,40,39,36,39,31,38,36,40,33,42,34,45,37,28,45,30,32,30,36,28,32,32,40,36,41,31,33,34,27,41,31
0.64,0,0,42,43,53,50,56,51,56,47,46,48,55,45,59,63,56,47,55,58,50,50,54,43,50,43,60,49,45,38,46,37,44,39,48,31,44,51,40,39,44,31,46,45,36,42,55,49,52,54,48,54,46,44,48,32,43,41,45,40,28,36,42,35,40,35,41,36,28,38,42,38,36,45,50,34,31,42,39,37,30,38,44,32,42,29,32,37,33,36,33,25,32,34,33,24,32,44,42,31,27
0.65,0,0,27,40,32,47,43,41,38,46,51,51,42,49,50,54,50,44,60,38,45,50,47,63,44,47,39,47,42,43,37,46,39,44,46,52,34,35,43,40,36,42,48,38,37,51,44,55,42,45,47,36,46,44,41,61,43,40,40,40,39,48,45,34,29,25,48,40,34,31,48,40,40,29,36,42,32,46,34,38,40,35,33,44,29,38,32,35,26,51,38,42,33,38,45,29,42,42,28,27,33
0.66,0,0,19,14,43,49,47,36,37,34,39,47,28,45,46,49,42,41,45,57,50,39,47,48,54,48,46,36,49,37,35,38,47,43,41,39,39,42,45,43,47,35,44,49,50,42,36,42,41,34,47,34,42,37,34,29,42,38,35,42,43,34,39,36,39,39,34,38,44,28,35,31,46,33,23,35,32,23,32,36,37,35,34,33,37,34,35,43,38,29,40,29,43,34,20,38,34,30,34,36,37
0.67,0,0,12,22,42,43,55,43,47,40,43,46,36,41,35,53,54,58,40,39,52,43,42,44,33,47,45,41,38,41,46,34,46,43,40,44,42,40,32,32,47,43,35,44,35,40,44,45,38,40,42,40,38,39,39,39,31,31,34,29,27,31,33,47,36,35,39,36,40,43,26,35,31,34,34,36,37,26,43,30,31,44,51,44,33,34,44,38,41,29,35,32,36,27,32,36,30,32,31,31,41
0.68,0,0,16,31,47,36,36,47,36,37,33,31,49,44,36,32,37,48,42,41,50,45,42,39,45,42,44,48,46,44,37,50,44,46,46,39,45,36,34,42,29,37,36,45,48,30,29,30,47,44,42,44,39,46,50,36,32,39,38,45,34,44,26,34,23,37,39,36,36,35,38,31,33,35,37,35,27,30,34,44,41,33,36,41,40,30,21,32,39,33,30,49,33,32,42,34,39,28,28,24,31
0.69,0,0,17,12,29,29,33,40,33,45,40,39,29,37,23,33,47,37,56,40,45,53,49,44,39,49,45,39,40,46,45,42,40,45,43,35,40,29,37,39,39,32,37,39,42,50,35,29,39,47,26,55,43,31,39,44,53,47,37,31,42,39,36,33,49,39,34,30,20,38,30,31,37,30,39,34,35,33,30,38,38,22,37,32,38,37,42,28,31,30,38,32,36,41,39,31,30,25,44,40,26
0.70,0,0,4,13,25,31,24,31,35,35,33,31,27,34,38,29,33,38,39,41,35,38,37,42,45,47,39,39,45,28,42,41,39,38,36,40,37,47,41,32,32,46,45,42,38,34,46,35,37,35,39,37,40,47,40,45,48,41,42,34,41,39,44,35,41,42,43,37,35,40,40,39,33,32,37,34,38,29,26,26,25,31,32,33,28,38,42,24,29,40,52,39,26,35,34,30,30,28,24,34,32
0.71,0,0,6,15,16,23,26,19,34,25,36,29,38,38,35,25,27,32,34,42,27,39,55,35,35,31,34,42,31,53,38,29,50,38,33,34,36,35,44,47,50,40,39,29,41,37,47,42,34,36,38,30,40,44,44,49,29,30,35,35,38,42,43,40,40,39,38,32,39,36,35,39,31,39,33,35,32,38,37,29,36,42,26,29,26,35,28,36,44,33,27,31,35,34,34,42,31,32,32,24,31
0.72,0,0,5,10,18,22,21,32,26,30,23,25,25,19,28,42,29,28,27,28,41,35,30,42,44,43,44,45,48,40,39,33,24,31,32,36,40,43,40,36,33,38,34,36,28,36,31,39,35,36,38,39,45,32,38,31,34,35,38,36,34,28,37,45,42,40,32,35,30,34,36,27,24,34,30,25,33,30,36,43,33,30,31,28,34,36,37,47,35,35,32,22,37,33,28,28,24,37,36,42,27
0.73,0,0,7,10,14,14,31,23,28,23,21,30,29,33,28,20,25,23,27,40,41,34,30,35,39,48,44,47,38,39,36,35,23,25,30,49,44,28,40,34,31,45,40,35,39,51,35,35,34,30,31,41,29,52,39,44,30,41,32,34,39,36,32,37,29,41,32,41,36,27,31,35,40,28,31,35,37,32,36,23,38,30,30,37,36,38,33,30,29,31,32,34,28,35,35,36,35,31,25,23,32
0.74,0,0,3,9,6,22,15,17,20,23,22,27,22,32,28,22,27,24,23,25,27,35,32,50,43,38,34,37,34,34,43,35,36,44,44,35,29,38,36,48,31,35,33,38,35,28,33,31,34,37,35,39,39,26,33,38,50,36,44,45,27,42,40,29,34,29,30,34,40,21,27,33,35,34,30,36,34,37,25,30,18,33,30,28,31,37,38,34,49,35,35,37,31,33,32,30,38,29,28,29,28
0.75,0,0,0,10,11,14,15,15,20,16,22,13,16,12,31,21,32,29,21,19,31,35,34,34,41,32,37,33,36,40,29,40,33,34,27,34,30,37,32,36,44,27,31,34,33,37,34,39,44,38,40,30,41,18,33,26,34,33,33,40,50,39,38,35,24,23,25,43,33,39,32,34,33,36,32,32,31,41,38,34,32,29,34,29,38,31,28,35,27,42,27,38,37,25,38,47,36,41,52,31,38
0.76,0,0,1,16,11,12,14,13,6,17,13,13,17,24,18,26,18,26,26,24,23,21,31,37,31,26,43,34,31,28,38,42,35,27,51,34,41,38,31,30,34,33,36,26,36,23,35,44,32,39,30,34,27,34,19,36,34,41,40,28,30,32,35,31,34,37,39,33,34,28,37,35,39,43,36,40,25,29,25,32,31,23,30,34,27,27,32,36,23,32,35,30,34,41,31,28,34,27,33,41,32
0.77,0,0,1,7,8,10,11,11,15,12,6,12,13,10,22,18,21,24,24,19,23,32,27,25,37,39,32,38,28,23,31,34,35,29,36,30,31,38,39,37,38,34,23,32,30,40,34,29,31,32,30,29,27,28,25,35,26,33,26,38,41,30,35,40,37,33,34,30,42,29,31,35,31,36,44,27,48,29,30,41,29,29,28,29,25,26,34,28,31,30,32,28,29,30,37,38,27,32,25,39,32
0.78,0,0,0,5,6,6,7,9,10,10,12,14,12,15,15,26,19,15,29,25,26,24,31,23,28,33,27,30,37,34,32,29,37,38,30,42,37,21,34,28,26,30,30,27,30,26,29,30,27,29,35,33,34,35,39,29,36,29,38,36,37,36,29,38,35,31,36,31,37,35,24,28,35,35,29,38,34,28,32,24,44,32,36,26,26,25,27,24,35,21,31,31,28,25,26,26,32,28,27,27,31
0.79,0,0,0,3,9,6,7,7,10,8,9,11,15,12,16,24,29,25,22,39,27,26,30,29,30,16,18,30,28,25,16,29,28,28,29,25,24,33,32,32,35,30,28,28,34,28,26,25,34,27,42,31,25,34,37,27,25,32,32,35,30,38,37,23,40,23,36,40,25,27,37,30,34,30,38,25,24,42,26,35,21,29,25,33,27,26,26,33,27,38,24,31,29,32,23,21,25,33,24,14,26
0.80,0,0,0,7,17,7,6,11,8,14,7,13,9,13,17,17,19,21,15,24,24,23,18,18,25,23,30,13,19,31,25,26,33,33,21,27,31,30,33,35,36,27,36,30,19,28,31,24,27,39,30,24,24,26,32,31,30,23,32,26,25,33,29,28,27,34,33,30,27,46,40,26,21,33,31,34,41,31,36,29,32,36,28,27,29,35,25,20,32,36,28,29,25,26,27,18,24,22,35,35,26
0.81,0,0,0,5,4,4,6,9,12,5,13,9,7,10,11,15,18,21,29,10,27,11,11,22,16,21,29,22,30,21,35,28,31,37,28,27,27,32,19,22,21,25,32,24,32,29,34,33,35,24,22,32,30,21,31,28,32,28,21,20,22,22,22,23,18,33,25,29,30,30,28,33,37,25,32,32,25,33,37,34,33,29,31,30,26,17,30,34,22,20,26,19,29,29,25,21,29,27,31,29,27
0.82,0,0,0,4,10,7,8,4,8,8,11,12,6,11,11,10,14,14,9,15,14,25,16,17,19,32,18,19,18,28,22,22,25,27,33,22,24,24,29,25,19,25,22,29,34,24,23,24,28,25,26,27,31,35,26,25,27,21,16,32,32,23,24,35,36,38,40,31,34,34,35,36,26,27,30,24,28,30,28,24,28,27,28,23,26,29,34,31,31,21,23,28,34,24,20,31,23,17,25,35,28
0.83,0,0,0,0,6,11,8,13,5,10,10,9,8,10,8,11,13,17,16,13,11,11,19,12,15,11,20,20,31,30,21,23,26,23,21,27,27,30,25,18,22,17,22,28,19,40,27,28,23,25,26,19,26,33,33,24,36,34,26,20,26,34,32,29,28,25,31,18,32,36,32,30,36,39,22,31,24,25,32,32,31,32,29,31,33,27,38,28,27,38,28,30,29,26,29,32,24,41,22,20,27
0.84,0,0,0,0,3,4,8,6,8,5,11,7,19,7,4,5,10,10,14,12,11,10,15,9,14,14,17,23,20,16,31,23,21,27,26,21,24,24,20,19,26,20,18,25,24,18,25,28,23,25,19,30,27,25,18,26,19,27,25,20,26,23,25,27,20,22,20,35,29,33,36,38,27,23,30,27,24,38,26,24,26,29,32,30,25,35,21,29,31,25,31,29,17,17,31,19,26,25,33,29,27
